Date,Price
2022-11-15,94.422195
2022-11-16,94.46484
2022-11-17,94.57194
2022-11-18,94.688416
2022-11-19,94.78804
2022-11-20,94.86058
2022-11-21,94.90501
2022-11-22,94.9254
2022-11-23,94.92817
2022-11-24,94.920074
